Year,Plot,Achmi,Agrsm,Amoca,Petca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Solri,Panvi,Petpu,Poapr,Schsc,Sornu,AbvBioAnnProd
2001,X2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.35
2001,X3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,80.629
2001,X5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.071
2001,X6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,59.108
2001,X9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,281.808
2001,X11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.75
2001,X12,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,253.259
2001,X14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,127.071
2001,X15,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,180.692
2001,X16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61.65
2001,X20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.413
2001,X22,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,237.017
2001,X24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,58.042
2001,X26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,118.156
2001,X27,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,274.896
2001,X28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,168.311
2001,X29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,215.631
2001,X30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,206.232
2001,X31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.988
2001,X32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.367
2001,X33,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,116.607
2001,X34,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,166.412
2001,X35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,327.121
2001,X44,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,149.546
2001,X45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,75.675
2001,X46,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,276.284
2001,X48,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,205.779
2001,X50,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,240.587
2001,X53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,135.6
2001,X56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,205.409
2001,X57,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,236.841
2001,X58,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,81.184
2001,X62,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,194.235
2001,X67,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,276.154
2001,X68,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,373.197
2001,X69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.551
2001,X70,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,193.229
2001,X74,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,143.646
2001,X75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,137.97
2001,X81,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,196.463
2001,X82,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,208.283
2001,X83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,228.671
2001,X87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.669
2001,X89,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,248.351
2001,X92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.463
2001,X93,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,361.35
2001,X94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,188.287
2001,X98,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,249.432
2001,X104,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,267.9
2001,X107,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,207.464
2001,X108,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,256.079
2001,X109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.833
2001,X110,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,262.656
2001,X111,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,239.924
