"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","length.ratio"
5.1,3.5,1.4,0.2,"setosa",3.64285714285714
4.9,3,1.4,0.2,"setosa",3.5
4.7,3.2,1.3,0.2,"setosa",3.61538461538462
4.6,3.1,1.5,0.2,"setosa",3.06666666666667
5,3.6,1.4,0.2,"setosa",3.57142857142857
5.4,3.9,1.7,0.4,"setosa",3.17647058823529
4.6,3.4,1.4,0.3,"setosa",3.28571428571429
5,3.4,1.5,0.2,"setosa",3.33333333333333
4.4,2.9,1.4,0.2,"setosa",3.14285714285714
4.9,3.1,1.5,0.1,"setosa",3.26666666666667
5.4,3.7,1.5,0.2,"setosa",3.6
4.8,3.4,1.6,0.2,"setosa",3
4.8,3,1.4,0.1,"setosa",3.42857142857143
4.3,3,1.1,0.1,"setosa",3.90909090909091
5.8,4,1.2,0.2,"setosa",4.83333333333333
5.7,4.4,1.5,0.4,"setosa",3.8
5.4,3.9,1.3,0.4,"setosa",4.15384615384615
5.1,3.5,1.4,0.3,"setosa",3.64285714285714
5.7,3.8,1.7,0.3,"setosa",3.35294117647059
5.1,3.8,1.5,0.3,"setosa",3.4
5.4,3.4,1.7,0.2,"setosa",3.17647058823529
5.1,3.7,1.5,0.4,"setosa",3.4
4.6,3.6,1,0.2,"setosa",4.6
5.1,3.3,1.7,0.5,"setosa",3
4.8,3.4,1.9,0.2,"setosa",2.52631578947368
5,3,1.6,0.2,"setosa",3.125
5,3.4,1.6,0.4,"setosa",3.125
5.2,3.5,1.5,0.2,"setosa",3.46666666666667
5.2,3.4,1.4,0.2,"setosa",3.71428571428571
4.7,3.2,1.6,0.2,"setosa",2.9375
4.8,3.1,1.6,0.2,"setosa",3
5.4,3.4,1.5,0.4,"setosa",3.6
5.2,4.1,1.5,0.1,"setosa",3.46666666666667
5.5,4.2,1.4,0.2,"setosa",3.92857142857143
4.9,3.1,1.5,0.2,"setosa",3.26666666666667
5,3.2,1.2,0.2,"setosa",4.16666666666667
5.5,3.5,1.3,0.2,"setosa",4.23076923076923
4.9,3.6,1.4,0.1,"setosa",3.5
4.4,3,1.3,0.2,"setosa",3.38461538461538
5.1,3.4,1.5,0.2,"setosa",3.4
5,3.5,1.3,0.3,"setosa",3.84615384615385
4.5,2.3,1.3,0.3,"setosa",3.46153846153846
4.4,3.2,1.3,0.2,"setosa",3.38461538461538
5,3.5,1.6,0.6,"setosa",3.125
5.1,3.8,1.9,0.4,"setosa",2.68421052631579
4.8,3,1.4,0.3,"setosa",3.42857142857143
5.1,3.8,1.6,0.2,"setosa",3.1875
4.6,3.2,1.4,0.2,"setosa",3.28571428571429
5.3,3.7,1.5,0.2,"setosa",3.53333333333333
5,3.3,1.4,0.2,"setosa",3.57142857142857
7,3.2,4.7,1.4,"versicolor",1.48936170212766
6.4,3.2,4.5,1.5,"versicolor",1.42222222222222
6.9,3.1,4.9,1.5,"versicolor",1.40816326530612
5.5,2.3,4,1.3,"versicolor",1.375
6.5,2.8,4.6,1.5,"versicolor",1.41304347826087
5.7,2.8,4.5,1.3,"versicolor",1.26666666666667
6.3,3.3,4.7,1.6,"versicolor",1.34042553191489
4.9,2.4,3.3,1,"versicolor",1.48484848484849
6.6,2.9,4.6,1.3,"versicolor",1.43478260869565
5.2,2.7,3.9,1.4,"versicolor",1.33333333333333
5,2,3.5,1,"versicolor",1.42857142857143
5.9,3,4.2,1.5,"versicolor",1.4047619047619
6,2.2,4,1,"versicolor",1.5
6.1,2.9,4.7,1.4,"versicolor",1.29787234042553
5.6,2.9,3.6,1.3,"versicolor",1.55555555555556
6.7,3.1,4.4,1.4,"versicolor",1.52272727272727
5.6,3,4.5,1.5,"versicolor",1.24444444444444
5.8,2.7,4.1,1,"versicolor",1.41463414634146
6.2,2.2,4.5,1.5,"versicolor",1.37777777777778
5.6,2.5,3.9,1.1,"versicolor",1.43589743589744
5.9,3.2,4.8,1.8,"versicolor",1.22916666666667
6.1,2.8,4,1.3,"versicolor",1.525
