,MSW05_Binomial,MSW05_Order,MSW05_Family,AdultBodyMass_g,GR_Area_km2,RedList
1,Abditomys_latidens,Rodentia,Muridae,268.09,356.58,DD
2,Abeomelomys_sevia,Rodentia,Muridae,54.88,53261.73,LC
3,Abrawayaomys_ruschii,Rodentia,Cricetidae,62.99,126137.48,LC
4,Abrocoma_bennettii,Rodentia,Abrocomidae,250.5,54615.98,LC
5,Abrocoma_boliviensis,Rodentia,Abrocomidae,158,5773.97,CR
6,Abrocoma_budini,Rodentia,Abrocomidae,NA,NA,DD
7,Abrocoma_cinerea,Rodentia,Abrocomidae,193.64,381391.02,LC
8,Abrocoma_famatina,Rodentia,Abrocomidae,NA,NA,DD
9,Abrocoma_shistacea,Rodentia,Abrocomidae,NA,NA,DD
10,Abrocoma_uspallata,Rodentia,Abrocomidae,NA,NA,DD
11,Abrocoma_vaccarum,Rodentia,Abrocomidae,NA,NA,DD
12,Abrothrix_andinus,Rodentia,Cricetidae,24.91,722551.83,LC
13,Abrothrix_hershkovitzi,Rodentia,Cricetidae,NA,1775.72,LC
14,Abrothrix_illuteus,Rodentia,Cricetidae,47.79,35359.55,NT
15,Abrothrix_jelskii,Rodentia,Cricetidae,34.5,506394.71,LC
16,Abrothrix_lanosus,Rodentia,Cricetidae,27.83,43016.67,LC
17,Abrothrix_longipilis,Rodentia,Cricetidae,38.86,423823.71,LC
18,Abrothrix_markhami,Rodentia,Cricetidae,NA,6084.17,LC
19,Abrothrix_olivaceus,Rodentia,Cricetidae,24.52,915499.44,LC
20,Abrothrix_sanborni,Rodentia,Cricetidae,24.7,18335.19,NT
21,Acerodon_celebensis,Chiroptera,Pteropodidae,384.84,173613.3,LC
22,Acerodon_humilis,Chiroptera,Pteropodidae,NA,87.45,EN
23,Acerodon_jubatus,Chiroptera,Pteropodidae,1087.04,261660.73,EN
24,Acerodon_leucotis,Chiroptera,Pteropodidae,NA,12831.86,VU
25,Acerodon_mackloti,Chiroptera,Pteropodidae,467.93,74770.92,VU
26,Acinonyx_jubatus,Carnivora,Felidae,50577.92,10586306.53,VU
27,Acomys_airensis,Rodentia,Muridae,NA,NA,LC
28,Acomys_cahirinus,Rodentia,Muridae,41.16,NA,LC
29,Acomys_cilicicus,Rodentia,Muridae,NA,404.16,DD
30,Acomys_cineraceus,Rodentia,Muridae,NA,NA,LC
31,Acomys_dimidiatus,Rodentia,Muridae,NA,3325550.32,LC
32,Acomys_ignitus,Rodentia,Muridae,NA,156581.97,LC
33,Acomys_johannis,Rodentia,Muridae,NA,NA,LC
34,Acomys_kempi,Rodentia,Muridae,21.99,358017.73,LC
35,Acomys_louisae,Rodentia,Muridae,20.19,320804.61,LC
36,Acomys_minous,Rodentia,Muridae,62.5,8190.7,DD
37,Acomys_mullah,Rodentia,Muridae,NA,152076.39,LC
38,Acomys_nesiotes,Rodentia,Muridae,NA,9293.99,DD
39,Acomys_percivali,Rodentia,Muridae,21.99,686807.37,LC
40,Acomys_russatus,Rodentia,Muridae,42.35,800320.84,LC
41,Acomys_seurati,Rodentia,Muridae,NA,NA,LC
42,Acomys_spinosissimus,Rodentia,Muridae,26.5,2826979.35,LC
43,Acomys_subspinosus,Rodentia,Muridae,21.92,126595.8,LC
44,Acomys_wilsoni,Rodentia,Muridae,18.5,1322637.93,LC
45,Aconaemys_fuscus,Rodentia,Octodontidae,129.95,NA,LC
46,Aconaemys_porteri,Rodentia,Octodontidae,NA,NA,DD
47,Aconaemys_sagei,Rodentia,Octodontidae,96.49,10262.34,DD
48,Acrobates_pygmaeus,Diprotodontia,Acrobatidae,13.84,1691398.78,LC
49,Addax_nasomaculatus,Artiodactyla,Bovidae,96077.36,1168708.88,CR
50,Aepeomys_lugens,Rodentia,Cricetidae,37,83652.35,LC
51,Aepeomys_reigi,Rodentia,Cricetidae,NA,NA,VU
52,Aepyceros_melampus,Artiodactyla,Bovidae,52591.69,3926868.66,LC
53,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,2810.31,641274.9,LC
54,Aeretes_melanopterus,Rodentia,Sciuridae,NA,80788.68,NT
55,Aeromys_tephromelas,Rodentia,Sciuridae,1187,283378.84,DD
56,Aeromys_thomasi,Rodentia,Sciuridae,1430.19,122621.55,DD
57,Aethalops_aequalis,Chiroptera,Pteropodidae,NA,20667.22,LC
58,Aethalops_alecto,Chiroptera,Pteropodidae,15,110914.61,LC
59,Aethomys_bocagei,Rodentia,Muridae,NA,133883.67,LC
60,Aethomys_chrysophilus,Rodentia,Muridae,80.85,5508479.37,LC
61,Aethomys_hindei,Rodentia,Muridae,140.65,2209180.32,LC
62,Aethomys_ineptus,Rodentia,Muridae,133.16,NA,LC
63,Aethomys_kaiseri,Rodentia,Muridae,89.99,2751633.59,LC
64,Aethomys_nyikae,Rodentia,Muridae,NA,1442818.13,LC
65,Aethomys_silindensis,Rodentia,Muridae,NA,77194.26,DD
66,Aethomys_stannarius,Rodentia,Muridae,NA,285522.83,DD
67,Aethomys_thomasi,Rodentia,Muridae,NA,189059.96,LC
68,Ailuropoda_melanoleuca,Carnivora,Ursidae,117999.99,36206.89,EN
69,Ailurops_melanotis,Diprotodontia,Phalangeridae,NA,NA,CR
70,Ailurops_ursinus,Diprotodontia,Phalangeridae,10000,175900.06,VU
71,Ailurus_fulgens,Carnivora,Ailuridae,5170.08,1075406.59,VU
72,Akodon_aerosus,Rodentia,Cricetidae,59.99,160799.5,LC
73,Akodon_affinis,Rodentia,Cricetidae,24.89,55129.8,LC
74,Akodon_albiventer,Rodentia,Cricetidae,25.95,425856.2,LC
75,Akodon_aliquantulus,Rodentia,Cricetidae,NA,NA,DD
76,Akodon_azarae,Rodentia,Cricetidae,25.27,1071237.32,LC
77,Akodon_bogotensis,Rodentia,Cricetidae,12.99,117248.52,LC
78,Akodon_boliviensis,Rodentia,Cricetidae,27.5,530195.66,LC
79,Akodon_budini,Rodentia,Cricetidae,26.9,20316.47,LC
80,Akodon_cursor,Rodentia,Cricetidae,39.84,1450284.06,LC
81,Akodon_dayi,Rodentia,Cricetidae,32.49,290923.1,LC
82,Akodon_dolores,Rodentia,Cricetidae,50.49,72177.75,LC
83,Akodon_fumeus,Rodentia,Cricetidae,22.69,176335.16,LC
84,Akodon_iniscatus,Rodentia,Cricetidae,28.7,395416.66,LC
85,Akodon_juninensis,Rodentia,Cricetidae,38.99,164823.93,LC
86,Akodon_kofordi,Rodentia,Cricetidae,29.49,21268.55,LC
87,Akodon_latebricola,Rodentia,Cricetidae,38.99,62437.75,VU
88,Akodon_leucolimnaeus,Rodentia,Cricetidae,NA,NA,DD
89,Akodon_lindberghi,Rodentia,Cricetidae,26.4,2400.72,DD
90,Akodon_lutescens,Rodentia,Cricetidae,20.69,318909.65,LC
91,Akodon_mimus,Rodentia,Cricetidae,23.99,76741.65,LC
92,Akodon_molinae,Rodentia,Cricetidae,32.99,139180.17,LC
93,Akodon_mollis,Rodentia,Cricetidae,30.39,96269.64,LC
94,Akodon_montensis,Rodentia,Cricetidae,NA,NA,LC
95,Akodon_mystax,Rodentia,Cricetidae,NA,NA,DD
96,Akodon_neocenus,Rodentia,Cricetidae,42.39,74279.32,DD
97,Akodon_oenos,Rodentia,Cricetidae,NA,NA,DD
98,Akodon_orophilus,Rodentia,Cricetidae,38.99,73051.28,LC
99,Akodon_paranaensis,Rodentia,Cricetidae,NA,NA,LC
100,Akodon_pervalens,Rodentia,Cricetidae,NA,NA,DD
101,Akodon_reigi,Rodentia,Cricetidae,NA,NA,LC
102,Akodon_sanctipaulensis,Rodentia,Cricetidae,27.1,79134.33,DD
103,Akodon_serrensis,Rodentia,Cricetidae,28.3,51047.49,LC
104,Akodon_siberiae,Rodentia,Cricetidae,34.6,32319.18,NT
105,Akodon_simulator,Rodentia,Cricetidae,42.5,160100.28,LC
106,Akodon_spegazzinii,Rodentia,Cricetidae,28.6,83477.58,LC
107,Akodon_subfuscus,Rodentia,Cricetidae,30.39,353423.95,LC
108,Akodon_surdus,Rodentia,Cricetidae,38.99,17420.46,VU
109,Akodon_sylvanus,Rodentia,Cricetidae,38.99,48393.63,LC
110,Akodon_toba,Rodentia,Cricetidae,51.2,402084.39,LC
111,Akodon_torques,Rodentia,Cricetidae,38.99,41379.72,LC
112,Akodon_varius,Rodentia,Cricetidae,40,245945.15,DD
113,Alcelaphus_buselaphus,Artiodactyla,Bovidae,160937.86,4706770.4,LC
114,Alces_alces,Artiodactyla,Cervidae,461900.76,NA,LC
115,Alces_americanus,Artiodactyla,Cervidae,541460.44,NA,LC
116,Alionycteris_paucidentata,Chiroptera,Pteropodidae,16.24,168.3,LC
117,Allactaga_balikunica,Rodentia,Dipodidae,NA,308292.15,LC
118,Allactaga_bullata,Rodentia,Dipodidae,NA,848001.94,LC
119,Allactaga_elater,Rodentia,Dipodidae,59,4512224.2,LC
120,Allactaga_euphratica,Rodentia,Dipodidae,232,NA,NT
121,Allactaga_firouzi,Rodentia,Dipodidae,NA,200.77,DD
122,Allactaga_hotsoni,Rodentia,Dipodidae,NA,489818.52,LC
123,Allactaga_major,Rodentia,Dipodidae,NA,4637648.53,LC
124,Allactaga_severtzovi,Rodentia,Dipodidae,NA,1143125.94,LC
125,Allactaga_sibirica,Rodentia,Dipodidae,NA,5412535.66,LC
126,Allactaga_tetradactyla,Rodentia,Dipodidae,52,336436.37,VU
127,Allactaga_vinogradovi,Rodentia,Dipodidae,NA,158260.74,NT
128,Allactaga_williamsi,Rodentia,Dipodidae,NA,NA,LC
129,Allactodipus_bobrinskii,Rodentia,Dipodidae,NA,399243.97,LC
130,Allenopithecus_nigroviridis,Primates,Cercopithecidae,4749.96,609031.19,LC
131,Allocebus_trichotis,Primates,Cheirogaleidae,78.09,42488.06,DD
132,Allocricetulus_curtatus,Rodentia,Cricetidae,NA,974905.89,LC
133,Allocricetulus_eversmanni,Rodentia,Cricetidae,NA,1887396.06,LC
134,Alouatta_belzebul,Primates,Atelidae,6157.91,1899561.77,VU
135,Alouatta_caraya,Primates,Atelidae,5576.96,1534736.35,LC
136,Alouatta_guariba,Primates,Atelidae,5188.33,825479.22,LC
137,Alouatta_macconnelli,Primates,Atelidae,NA,1679178.24,LC
138,Alouatta_nigerrima,Primates,Atelidae,NA,183994.3,LC
139,Alouatta_palliata,Primates,Atelidae,6576.99,559554.92,LC
140,Alouatta_pigra,Primates,Atelidae,7172.06,91384.8,EN
141,Alouatta_sara,Primates,Atelidae,6611.04,526742.28,LC
142,Alouatta_seniculus,Primates,Atelidae,6398.31,2516845.21,LC
143,Alticola_albicaudus,Rodentia,Cricetidae,NA,33357.58,DD
144,Alticola_argentatus,Rodentia,Cricetidae,37.69,1225347.54,LC
145,Alticola_barakshin,Rodentia,Cricetidae,NA,498938.65,LC
146,Alticola_lemminus,Rodentia,Cricetidae,NA,3673441.79,LC
147,Alticola_macrotis,Rodentia,Cricetidae,NA,770987.12,LC
148,Alticola_montosa,Rodentia,Cricetidae,NA,70730.17,VU
149,Alticola_olchonensis,Rodentia,Cricetidae,NA,NA,DD
150,Alticola_roylei,Rodentia,Cricetidae,37,22396.36,NT
151,Alticola_semicanus,Rodentia,Cricetidae,NA,741138.76,LC
152,Alticola_stoliczkanus,Rodentia,Cricetidae,30.14,2546208.78,LC
153,Alticola_strelzowi,Rodentia,Cricetidae,49.99,586631.11,LC
154,Alticola_tuvinicus,Rodentia,Cricetidae,NA,439592.76,LC
155,Amblysomus_corriae,Afrosoricida,Chrysochloridae,NA,47134.97,NT
156,Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,62.6,256161.76,LC
157,Amblysomus_marleyi,Afrosoricida,Chrysochloridae,NA,952.47,EN
158,Amblysomus_robustus,Afrosoricida,Chrysochloridae,NA,3194.91,VU
159,Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,NA,32027.78,NT
160,Ametrida_centurio,Chiroptera,Phyllostomidae,10.61,4577247.97,LC
161,Ammodillus_imbellis,Rodentia,Muridae,49.99,226420.62,DD
162,Ammodorcas_clarkei,Artiodactyla,Bovidae,28049.81,287056.65,VU
163,Ammospermophilus_harrisii,Rodentia,Sciuridae,126.57,270261.06,LC
164,Ammospermophilus_interpres,Rodentia,Sciuridae,112.53,313517.36,LC
165,Ammospermophilus_leucurus,Rodentia,Sciuridae,103.92,990897.69,LC
166,Ammospermophilus_nelsoni,Rodentia,Sciuridae,160.42,4125.09,EN
167,Ammotragus_lervia,Artiodactyla,Bovidae,94202.22,1447450.84,VU
168,Amorphochilus_schnablii,Chiroptera,Furipteridae,NA,437429.66,EN
169,Amphinectomys_savamis,Rodentia,Cricetidae,NA,NA,DD
170,Anathana_ellioti,Scandentia,Tupaiidae,160,1373476.69,LC
171,Andalgalomys_olrogi,Rodentia,Cricetidae,32.9,592.92,LC
172,Andalgalomys_pearsoni,Rodentia,Cricetidae,25.4,62301.94,LC
173,Andinomys_edax,Rodentia,Cricetidae,69.75,332581.78,LC
174,Anisomys_imitator,Rodentia,Muridae,510.5,243507.61,LC
175,Anomalurus_beecrofti,Rodentia,Anomaluridae,479.07,4958782.98,LC
176,Anomalurus_derbianus,Rodentia,Anomaluridae,665.84,7480085.38,LC
